"Small
molecules",SMILES used in the DTI prediction,DTI Kd (nM),Autodock Vina ∆G (kcal/mol),Unnamed: 4
Telotristat ethyl,CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1,39.93315280541422,-7.2,
Amitriptylinoxide,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,40.37906886868217,-7.1,
Arformoterol,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,40.65462879421837,-6.1,
Diphemanil,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,41.23620595027975,-6.2,
Selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,42.1287428809455,-6.4,
Piritramide,N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1,42.18178949077024,-6.7,
Acarbose,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,42.9858580295327,-6.7,
Levobupivacaine,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,43.14946347289323,-6.1,
Rosuvastatin,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,43.63781532228175,-5.9,
Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,44.22355996035599,-5.8,
Gemeprost,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC/C=C/C(=O)OC,44.35641110928879,-5.6,
Upadacitinib,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,44.38722554609939,-6.9,
Oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,44.59207686713401,-6.8,
Tropisetron,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,44.64203668321916,-6.1,
Doravirine,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,44.7657639146191,-6.8,
Venetoclax,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,44.7727118422413,-9.2,
Pipecuronium,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,44.83591116394463,-6.5,
Adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,45.10617494577269,-8.0,
Hydrocortamate,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,45.2213475776509,-6.4,
Dexmethylphenidate,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,45.58440600208517,-5.4,
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,45.77016731351263,-7.6,
Cidofovir,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,46.09292831245203,-5.3,
Esketamine,CN[C@]1(c2ccccc2Cl)CCCCC1=O,46.25727020154887,-5.6,
Estradiol acetate,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,46.3021651849012,-6.8,
Ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,46.34218429544897,-6.7,
Hydrocortisone butyrate,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,46.43488774596722,-6.5,
Bisoctrizole,CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,46.94882202267522,-7.6,
Digitoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,47.0826609830806,-7.3,
Nicotine,CN1CCC[C@H]1c1cccnc1,47.12229133642533,-4.4,
Nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1,47.21757730258585,-5.4,
Alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl,47.4274418250241,-5.0,
Travoprost,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,47.70099081216438,-6.7,
Streptomycin,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,47.71907317677988,-6.4,
Levamlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,47.81399149962543,-6.2,
Encorafenib,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,48.24374352660401,-7.1,
Nomegestrol,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,48.29527018002625,-6.4,
Deferoxamine,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,48.73848215694881,-5.5,
Indecainide,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,48.96108123366115,-6.5,
Fesoterodine,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,49.42173640189873,-6.5,
Methantheline,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,50.47883229432373,-6.4,
Methylprednisolone aceponate,CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,50.49763047680356,-7.2,
Letermovir,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,50.72791354307948,-8.0,
Tolcapone,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,51.10165904666611,-6.6,
Lumiracoxib,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,51.44444662655187,-5.5,
Omadacycline,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,51.87956189972164,-7.2,
Methylnaltrexone,C[N@+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,52.72960281176564,-7.1,
Paritaprevir,Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,53.21450172727263,-9.2,
Desoxycorticosterone acetate,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,53.26656606123299,-6.6,
Ixabepilone,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,53.28177693195757,-7.4,
Hydrocortisone valerate,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,53.61051756525978,-6.5,
Triamcinolone,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,53.67718104580276,-7.5,
Bictegravir,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2,53.94373336155832,-7.8,
Formestane,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,54.26102582463759,-6.8,
Entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,54.40043845177482,-8.5,
Pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,54.6476763207876,-6.1,
Triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,55.2927257805841,-6.4,
Fluprednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,56.01876112300406,-7.4,
Tafluprost,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/C(F)(F)COc1ccccc1,56.33846370189358,-6.2,
Ertapenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,56.69587992873704,-6.7,
Midostaurin,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,57.02469879405842,-7.4,
Bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,57.06357809146834,-6.6,
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,57.07698182734725,-5.1,
Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,57.39155606612953,-6.1,
Oxymetholone,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,57.5941005145889,-6.8,
Drospirenone,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,58.58736961286818,-7.3,
Latanoprost,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1,58.72688965945311,-5.5,
Fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,59.16283818698859,-6.5,
Alclometasone,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,60.70241926322558,-6.9,
Fosinopril,CCC(=O)O[C@@H](O[P@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,61.01182276559474,-6.0,
Topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,61.25826609335263,-5.4,
Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,61.77403929314874,-6.3,
Anthralin,O=C1c2c(O)cccc2Cc2cccc(O)c21,61.91524560215053,-6.8,
Glycyrrhizic acid,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,61.94353698399146,-8.1,
Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,63.68226475893441,-6.8,
Teniposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,63.9388763806602,-7.5,
Brivaracetam,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,64.03971640329999,-5.0,
Edrophonium,CC[N+](C)(C)c1cccc(O)c1,64.40065730396476,-4.5,
Trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,64.8014166109309,-6.8,
Paramethasone acetate,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,65.17688494276531,-6.9,
Fluclorolone acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(Cl)[C@@H](Cl)C[C@]3(C)[C@]2(C(=O)CO)O1,65.18459927089967,-6.6,
Carbetocin,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,65.2043695279198,-6.8,
Deflazacort,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,65.47828561878406,-7.5,
Acetyl sulfisoxazole,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,65.79494072475019,-6.2,
Benzatropine,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,66.85557063368057,-6.7,
Oxandrolone,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,66.86209803545924,-7.0,
Simeprevir,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,67.02687936534085,-8.7,
Artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,67.35992578497476,-5.9,
Bilastine,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,67.43376373794509,-6.0,
Hydrocortisone cypionate,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1,68.32872233284887,-7.0,
Moexipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,68.55461559957514,-6.2,
Flufenamic acid,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,69.50151956386502,-6.9,
Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,69.55366191470311,-6.7,
Dihydrostreptomycin,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,69.89762187387431,-6.0,
Spirapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,69.94940102648094,-6.1,
Dosulepin,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,70.21027918953972,-6.5,
Tazobactam,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,70.3612262982857,-6.0,
Capmatinib,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,71.59917200153765,-7.9,
Thiotepa,S=P(N1CC1)(N1CC1)N1CC1,71.84975639384763,-3.7,
Agomelatine,COc1ccc2cccc(CCNC(C)=O)c2c1,72.25318566051972,-5.9,
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,72.8215636465538,-6.5,
Glecaprevir,CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O,75.80834229444525,-8.5,
Sulfamerazine,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,75.83879082736837,-6.4,
Tetrofosmin,CCOCCP(CCOCC)CCP(CCOCC)CCOCC,76.61750405518178,-3.7,
Difenoxin,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,77.51147475931356,-6.6,
Promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21,78.00563921203585,-6.1,
Diatrizoate,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,79.10767123924634,-5.1,
Selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,79.28791544776085,-4.2,
Dapiprazole,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,79.47709780880285,-6.7,
Levamisole,c1ccc([C@H]2CN3CCSC3=N2)cc1,80.34336181471419,-5.5,
Pimavanserin,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,80.4764851312216,-6.3,
Lorcaserin,C[C@H]1CNCCc2ccc(Cl)cc21,80.56640775076288,-5.1,
Eravacycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,80.779656112393,-6.9,
Dalfopristin,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12,80.87282241447899,-7.5,
Mycophenolate mofetil,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,81.14480108881811,-6.3,
Pixantrone,NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O,81.37106496969876,-7.0,
Glasdegib,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,81.39304571187067,-7.5,
Droxidopa,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,81.88135105953631,-5.6,
Arzoxifene,COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,82.00102858165486,-6.7,
Epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,82.19776329514578,-5.3,
Bicisate,CCOC(=O)[C@H](CS)NCCN[C@@H](CS)C(=O)OCC,82.32978854966774,-3.9,
Escitalopram,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,82.89422966327959,-6.3,
Rasagiline,C#CCN[C@@H]1CCc2ccccc21,83.10007198699344,-5.1,
Fusidic acid,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,83.34623764459306,-6.4,
Oxytetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,83.59663572860555,-7.2,
Tromantadine,CN(C)CCOCC(=O)NC12CC3CC(CC(C3)C1)C2,84.29930613987017,-5.2,
Cerivastatin,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,84.497274344468,-5.4,
Levocetirizine,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,84.5276898836063,-5.7,
Fluorodopa (18F),N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,85.19034950496498,-5.7,
Sacubitril,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,85.35231403216793,-6.1,
Echothiophate,CCOP(=O)(OCC)SCC[N+](C)(C)C,86.56981710707548,-3.7,
Ciclopirox,Cc1cc(C2CCCCC2)n(O)c(=O)c1,88.25087092076804,-5.6,
Thiethylperazine,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,88.98114706861281,-5.7,
Cilostazol,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,89.16341627164563,-6.1,
Lodoxamide,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,91.10453587803025,-5.9,
Cystine,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,93.66783883019237,-4.4,
Ospemifene,OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,93.78917161352939,-6.3,
Ziprasidone,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,93.8085450062641,-6.8,
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,94.45407515637173,-6.6,
Gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,94.55565339011385,-7.5,
Lifitegrast,CS(=O)(=O)c1cccc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)c1,94.66898046064084,-8.3,
Posaconazole,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,94.69891431061902,-8.0,
Cobicistat,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,94.9669302679756,-6.9,
Trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,96.0744705897624,-7.3,
Ivosidenib,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,96.6348996502297,-7.8,
Choline,C[N+](C)(C)CCO,97.47667350383985,-3.0,
Oxetacaine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,97.680078510103,-6.6,
Nintedanib,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,97.71980687498159,-6.4,
Prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,98.21526663341695,-7.2,
Dopexamine,Oc1ccc(CCNCCCCCCNCCc2ccccc2)cc1O,98.34991751104235,-5.3,
Prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,98.50056009617208,-5.8,
D-Serine,N[C@H](CO)C(=O)O,99.27927568362087,-3.6,
"N-Cyclohexyl-N'-phenyl-1,4-phenylenediamine",c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,99.2827961703343,-6.0,
